entity,predicted_label,true_label,explanation_edges,node_index
Augustin Maior,Scientist,Scientist,Augustin Maior --[education]--> Faculty of Mechanical Engineering of the Polytechnic Institute in Budapest | Augustin Maior --[academicDiscipline]--> Physics | Augustin Maior --[fields]--> Physics | Augustin Maior --[sameAs]--> 65312250 | Augustin Maior --[nationality]--> Romanian,8357
Clemens von Pirquet,Scientist,Scientist,Clemens von Pirquet --[type]--> NaturalPerson | Clemens von Pirquet --[type]--> Thing | Clemens von Pirquet --[type]--> Person | Clemens von Pirquet --[type]--> Person | Clemens von Pirquet --[type]--> Q5,21998
Basil Balme,Scientist,Scientist,Basil Balme --[awards]--> W.R. Browne Medal of the Geological Society of Australia | Basil Balme --[doctoralAdvisor]--> R.G. Coleman | Basil Balme --[thesisTitle]--> Studies in stratigraphic palynology | Basil Balme --[fields]-->  | Basil Balme --[thesisYear]--> 1968,8787
Oluf Borbye Pedersen,Scientist,Scientist,Oluf Borbye Pedersen --[fields]--> Endocrinology; metabolic medicine; human genomics; microbiome science | Oluf Borbye Pedersen --[award]--> Order of the Dannebrog | Oluf Borbye Pedersen --[academicDiscipline]--> Endocrinology | Oluf Borbye Pedersen --[almaMater]--> Aarhus University | Oluf Borbye Pedersen --[knownFor]--> Type 2 diabetes,33297
Gustav Schneider,Scientist,Scientist,Gustav Schneider --[authorAbbrevBot]--> Gus.Schneid. | Gustav Schneider --[nationality]--> Germany | Gustav Schneider --[academicDiscipline]--> Botany | Gustav Schneider --[fields]--> Botany | Gustav Schneider --[nationality]--> Germany,26738
