class,keyword,count_this,pct_this,count_other,pct_other,lift
Athlete,footballers,36,6.0,0,0.055524708495280406,108.05999999999999
Athlete,olympic,36,6.0,0,0.055524708495280406,108.05999999999999
Athlete,sportspeople,29,4.833333333333333,0,0.055524708495280406,87.04833333333332
Athlete,midfielder,18,3.0,0,0.055524708495280406,54.029999999999994
Athlete,team,34,5.666666666666666,1,0.11104941699056081,51.02833333333333
Athlete,cup,17,2.833333333333333,0,0.055524708495280406,51.02833333333333
Athlete,olympics,34,5.666666666666666,1,0.11104941699056081,51.02833333333333
Athlete,sport,17,2.833333333333333,0,0.055524708495280406,51.02833333333333
Athlete,midfielders,17,2.833333333333333,0,0.055524708495280406,51.02833333333333
Athlete,championships,13,2.166666666666667,0,0.055524708495280406,39.02166666666666
Athlete,athletes,10,1.6666666666666667,0,0.055524708495280406,30.016666666666662
Athlete,football,40,6.666666666666667,3,0.22209883398112162,30.016666666666662
MusicalArtist,musicians,99,16.5,0,0.055524708495280406,297.16499999999996
MusicalArtist,singers,63,10.5,0,0.055524708495280406,189.105
MusicalArtist,pop,52,8.666666666666668,0,0.055524708495280406,156.08666666666664
MusicalArtist,music,148,24.666666666666668,2,0.1665741254858412,148.0822222222222
MusicalArtist,band,43,7.166666666666667,0,0.055524708495280406,129.07166666666666
MusicalArtist,songwriters,43,7.166666666666667,0,0.055524708495280406,129.07166666666666
MusicalArtist,hop,40,6.666666666666667,0,0.055524708495280406,120.06666666666665
MusicalArtist,album,39,6.5,0,0.055524708495280406,117.065
MusicalArtist,musician,34,5.666666666666666,0,0.055524708495280406,102.05666666666666
MusicalArtist,producers,32,5.333333333333334,0,0.055524708495280406,96.05333333333333
MusicalArtist,billboard,31,5.166666666666667,0,0.055524708495280406,93.05166666666666
MusicalArtist,song,29,4.833333333333333,0,0.055524708495280406,87.04833333333332
Politician,assembly,23,3.833333333333333,0,0.055524708495280406,69.03833333333333
Politician,constituency,18,3.0,0,0.055524708495280406,54.029999999999994
Politician,legislative,16,2.666666666666667,0,0.055524708495280406,48.026666666666664
Politician,democrats,16,2.666666666666667,0,0.055524708495280406,48.026666666666664
Politician,representatives,14,2.3333333333333335,0,0.055524708495280406,42.02333333333333
Politician,politicians,49,8.166666666666666,3,0.22209883398112162,36.77041666666666
Politician,lawyers,12,2.0,0,0.055524708495280406,36.019999999999996
Politician,parliament,12,2.0,0,0.055524708495280406,36.019999999999996
Politician,mayors,11,1.8333333333333333,0,0.055524708495280406,33.01833333333333
Politician,mlas,10,1.6666666666666667,0,0.055524708495280406,30.016666666666662
Politician,election,19,3.166666666666667,1,0.11104941699056081,28.515833333333333
Politician,places,8,1.3333333333333335,0,0.055524708495280406,24.013333333333332
Scientist,fellows,67,11.166666666666666,0,0.055524708495280406,201.11166666666665
Scientist,physics,42,7.000000000000001,0,0.055524708495280406,126.07000000000001
Scientist,academics,39,6.5,0,0.055524708495280406,117.065
Scientist,physicists,39,6.5,0,0.055524708495280406,117.065
Scientist,wilhelm,32,5.333333333333334,0,0.055524708495280406,96.05333333333333
Scientist,fellow,31,5.166666666666667,0,0.055524708495280406,93.05166666666666
Scientist,max,29,4.833333333333333,0,0.055524708495280406,87.04833333333332
Scientist,chemistry,28,4.666666666666667,0,0.055524708495280406,84.04666666666667
Scientist,mathematicians,28,4.666666666666667,0,0.055524708495280406,84.04666666666667
Scientist,chemists,27,4.5,0,0.055524708495280406,81.04499999999999
Scientist,humboldt,26,4.333333333333334,0,0.055524708495280406,78.04333333333332
Scientist,mathematics,26,4.333333333333334,0,0.055524708495280406,78.04333333333332
